matched_user_product_original,jumia_min_price,totshoppe_min_price,peekaboo_min_price,min_price_across_sources,max_price_across_sources
aptamil creamed banana 125 g,1999.0,1999.0,1999.0,1999.0,1999.0
aptamil creamed porridge 4 month plus 125 g,1999.0,1999.0,1999.0,1999.0,1999.0
aptamil stage 1 first infant milk powder 800 g,3800.0,3800.0,3540.0,3540.0,3800.0
aptamil stage 2 follow on milk powder 800 g,3800.0,3800.0,3800.0,3800.0,5850.0
aptamil stage 3 toddler milk powder 800 g,3800.0,3800.0,3800.0,3800.0,3800.0
cow and gate creamy porridge 4-6 months 125 g,1500.0,1500.0,1500.0,1500.0,1999.0
hipp organic 1 first milk powder 800 g,6000.0,5500.0,5799.0,5500.0,6000.0
hipp organic 3 from 1 year onwards growing up milk 600 g,5799.0,5799.0,5799.0,5799.0,5799.0
hipp organic combiotic follow on milk 800 g,5799.0,5799.0,5799.0,5799.0,5799.0
kendamil organic first infant milk 800 g,5000.0,5500.0,5000.0,5000.0,5500.0
kendamil organic follow on milk 6-12 months 800 g,5500.0,5500.0,5500.0,5500.0,7000.0
little angels sensitive baby 64 wipes,700.0,700.0,700.0,700.0,700.0
nannycare 1 formula first infant goat milk 900 g 0-6 months,9999.0,9999.0,9999.0,9999.0,9999.0
nannycare 2 follow on milk goat milk based from 6 months 900 g,9999.0,9999.0,9999.0,9999.0,9999.0
nannycare growing up milk goat milk based 3 from 1 to 3 years 900 g,9999.0,9999.0,9999.0,9999.0,9999.0
waterwipes bathing and skin care sensitive newborn skin 1 pk 60 unscented wipes,1100.0,1100.0,1100.0,1100.0,1100.0
mamia sensitive bathing and skin care 64 bathing and skin care,250.0,250.0,250.0,250.0,250.0
