,,Inflation (month-on-month) %,Inflation (annual average) %
2005,Jan,14.87,12.27
,Feb,13.94,12.6
,Mar,14.15,13.07
,Apr,16.02,13.76
,May,14.78,14.61
,Jun,11.92,15.1
,Jul,11.76,15.34
,Aug,6.87,14.53
,Sep,4.27,13.24
,Oct,3.72,11.99
,Nov,4.4,10.89
,Dec,4.7,9.87
2006,Jan,8.39,9.36
,Feb,9.39,9.01
,Mar,8.85,8.61
,Apr,5.44,7.77
,May,4.47,6.95
,Jun,4.28,6.33
,Jul,4.16,5.73
,Aug,4.92,5.57
,Sep,5.93,5.7
,Oct,6.55,5.94
,Nov,6.64,6.12
,Dec,7.98,6.39
2007,Jan,4.63,6.08
,Feb,3.02,5.55
,Mar,2.19,4.99
,Apr,1.85,4.69
,May,1.96,4.47
,Jun,4.07,4.46
,Jul,5.48,4.57
,Aug,5.3,4.6
,Sep,5.53,4.57
,Oct,5.38,4.48
,Nov,6.08,4.45
,Dec,5.7,4.27
2008,Jan,9.4,4.69
,Feb,10.58,5.32
,Mar,11.9,6.13
,Apr,16.12,7.32
,May,18.61,8.7
,Jun,17.87,9.86
,Jul,17.12,10.83
,Aug,18.33,11.92
,Sep,18.73,13.02
,Oct,18.74,14.13
,Nov,19.54,15.25
,Dec,17.83,16.27
2009,Jan,13.22,16.56
,Feb,14.69,16.87
,Mar,14.6,17.07
,Apr,12.42,16.72
,May,9.61,15.93
,Jun,8.6,15.11
,Jul,8.44,14.35
,Aug,7.36,13.42
,Sep,6.74,12.41
,Oct,6.62,11.42
,Nov,5,10.24
,Dec,5.32,9.24
2010,Jan,5.95,8.64
,Feb,5.18,7.88
,Mar,3.97,7.03
,Apr,3.66,6.32
,May,3.88,5.85
,Jun,3.49,5.43
,Jul,3.57,5.03
,Aug,3.22,4.69
,Sept,3.21,4.4
,Oct,3.18,4.12
,Nov,3.84,4.02
,Dec,4.51,3.96
2011,Jan,5.42,3.93
,Feb,6.54,4.05
,Mar,9.19,4.49
,Apr,12.05,5.2
,May,12.95,5.96
,Jun,14.48,6.88
,Jul,15.53,7.88
,Aug,16.67,9
,Sep,17.32,10.18
,Oct,18.91,11.49
,Nov,19.72,12.82
,Dec,18.93,14.02
2012,Jan,18.31,15.1
,Feb,16.69,15.93
,Mar,15.61,16.45
,Apr,13.06,16.5
,May,12.22,16.4
,June,10.05,15.97
,Jul,7.74,15.27
,Aug,6.09,14.33
,Sep,5.32,13.29
,Oct,4.14,12.04
,Nov,3.25,10.67
,Dec,3.2,9.38
2013,Jan,3.67,8.2
,Feb,4.45,7.24
,Mar,4.11,6.33
,Apr,4.14,5.61
,May,4.05,4.96
,Jun,4.91,4.56
,Jul,6.03,4.44
,Aug,6.67,4.5
,Sep,8.29,4.75
,Oct,7.76,5.05
,Nov,7.36,5.39
,Dec,7.15,5.72
2014,Jan,7.21,6.01
,Feb,6.86,6.21
,Mar,6.27,6.39
,Apr,6.41,6.58
,May,7.3,6.85
,Jun,7.39,7.05
,Jul,7.67,7.19
,Aug,8.36,7.33
,Sep,6.6,7.19
,Oct,6.43,7.08
,Nov,6.09,6.97
,Dec,6.02,6.88
2015,Jan,5.53,6.74
,Feb,5.61,6.63
,Mar,6.31,6.63
,Apr,7.08,6.69
,May,6.87,6.65
,Jun,7.03,6.63
,Jul,6.62,6.54
,Aug,5.84,6.34
,Sep,5.97,6.29
,Oct,6.72,6.31
,Nov,7.32,6.42
,Dec,8.01,6.58
2016,Jan,7.78,6.77
,Feb,7.09,6.89
,Mar,6.45,6.9
,Apr,5.27,6.74
,May,5,6.58
,Jun,5.8,6.48
,Jul,6.4,6.46
,Aug,6.26,6.49
,Sep,6.34,6.52
,Oct,6.47,6.5
,Nov,6.68,6.45
,Dec,6.35,6.32
2017,Jan,6.99,6.26
,Feb,9.04,6.43
,Mar,10.28,6.76
,Apr,11.48,7.28
,May,11.7,7.84
,Jun,9.21,8.13
,Jul,7.47,8.21
,Aug,8.04,8.35
,Sep,7.06,8.4
,Oct,5.72,8.33
,Nov,4.73,8.15
,Dec,4.5,7.98
2018,Jan,4.83,7.79
,Feb,4.46,7.4
,Mar,4.18,6.89
,Apr,3.73,6.24
,May,3.95,5.61
,Jun,4.28,5.2
,Jul,4.35,4.95
,Aug,4.04,4.63
,Sep,5.7,4.53
,Oct,5.53,4.52
,Nov,5.59,4.59
,Dec,5.71,4.69
2019,Jan,4.7,4.68
,Feb,4.14,4.65
,Mar,4.35,4.67
,Apr,6.58,4.91
,May,5.49,5.04
,Jun,5.7,5.16
,Jul,6.27,5.32
,Aug,5,5.4
,Sep,3.83,5.24
,Oct,4.95,5.19
,Nov,5.56,5.19
,Dec,5.82,5.2
2020,Jan,5.78,5.29
,Feb,7.17,5.72
,Mar,5.84,5.84
,Apr,6.01,6.03
,May,5.33,6.18
,Jun,4.59,6.16
,Jul,4.36,6.01
,Aug,4.36,5.87
,Sep,4.2,5.79
,Oct,4.84,5.67
,Nov,5.33,5.53
,Dec,5.62,5.41
2021,Jan,5.69,5.27
,Feb,5.78,5.16
,Mar,5.9,5.17
,Apr,5.76,5.15
,May,5.87,5.2
,Jun,6.32,5.35
,Jul,6.55,5.53
,Aug,6.57,5.71
,Sep,6.91,5.94
,Oct,6.45,6.07
,Nov,5.8,6.1
,Dec,5.73,6.11
2022,Jan,5.39,6.08
,Feb,5.08,6.02
,Mar,5.56,5.99
,Apr,6.47,6.05
,May,7.08,6.16
,Jun,7.91,6.29
,Jul,8.32,6.45
,Aug,8.53,6.61
,Sep,9.18,6.81
,Oct,9.59,7.07
,Nov,9.48,7.38
,Dec,9.06,7.66
2023,Jan,8.98,7.95
,Feb,9.23,8.3
,Mar,9.19,8.59
,Apr,7.9,8.71
,May,8.03,8.78
,Jun,7.88,8.77
,Jul,7.28,8.68
,Aug,6.73,8.52
,Sep,6.78,8.32
,Oct,6.92,8.1
,Nov,6.8,7.87
,Dec,6.63,7.67
2024,Jan,6.85,7.5
,Feb,6.31,7.26
,Mar,5.7,6.97
,Apr,5,6.73
,May,5.1,6.49
,Jun,4.64,6.22
,Jul,4.31,5.97
,Aug,4.36,5.77
,Sep,3.56,5.5
,Oct,2.72,5.14
,Nov,2.75,4.81
,Dec,2.99,4.5
2025,Jan,3.28,4.21
,Feb,3.45,3.98
,Mar,3.62,3.81
,Apr,4.11,3.74
,May,3.75,3.63
,June,3.82,3.56
,July,4.15,3.55
,Aug,4.53,3.56
,Sep,4.58,3.65
,Oct,4.56,3.8
,Nov,4.46,3.94
,Dec,4.49,4.07
2026,Jan,4.4,4.16
